diva_name,album_name,release_year,album_image_url
Madonna,Madame X,2019,https://i.scdn.co/image/ab67616d0000b273fa3f9b299ec4a1b18164726d
Madonna,Rebel Heart,2015,https://i.scdn.co/image/ab67616d0000b273ce3289d289ff7fc3c245af34
Madonna,MDNA,2012,https://i.scdn.co/image/ab67616d0000b273a10a2e61655cd1949bbc6903
Madonna,Hard Candy,2008,https://i.scdn.co/image/ab67616d0000b2730254cb69386bd62f83f90c6b
Madonna,Confessions on a Dance Floor,2005,https://i.scdn.co/image/ab67616d0000b273aaa9d84415623c1e790cd07b
Madonna,American Life,2003,https://i.scdn.co/image/ab67616d0000b273f7d4804d65d858d31b0da017
Madonna,Music,2000,https://i.scdn.co/image/ab67616d0000b273e7bba2f848d93d632e4dfd35
Madonna,Ray of Light,1998,https://i.scdn.co/image/ab67616d0000b27391d080c66f2425c23c6eadf8
Madonna,Bedtime Stories,1994,https://i.scdn.co/image/ab67616d0000b27340cbf5330f808105d7ba9a44
Madonna,Erotica,1992,https://i.scdn.co/image/ab67616d0000b2730928e64d4069dabd19f21a12
Madonna,Like a Prayer,1989,https://i.scdn.co/image/ab67616d0000b273fabcc97fd6c3d80fae8d959e
Madonna,True Blue,1986,https://i.scdn.co/image/ab67616d0000b273de3094d98b62340d3268c7bc
Madonna,Like a Virgin,1984,https://i.scdn.co/image/ab67616d0000b27399d424b0873a9a714279a9f3
Madonna,Madonna,1983,https://i.scdn.co/image/ab67616d0000b273bb45399c6250c0c7ce59849d
Beyoncé,COWBOY CARTER,2024,https://i.scdn.co/image/ab67616d0000b2731572698fff8a1db257a53599
Beyoncé,RENAISSANCE,2022,https://i.scdn.co/image/ab67616d0000b2730e58a0f8308c1ad403d105e7
Beyoncé,Lemonade,2016,https://i.scdn.co/image/ab67616d0000b27389992f4d7d4ab94937bf9e23
Beyoncé,BEYONCÉ,2014,https://i.scdn.co/image/ab67616d0000b2730d1d6e9325275f104f8e33f3
Beyoncé,4,2011,https://i.scdn.co/image/ab67616d0000b273ff5429125128b43572dbdccd
Beyoncé,I AM...SASHA FIERCE,2008,https://i.scdn.co/image/ab67616d0000b273e13de7b8662b085b0885ffef
Beyoncé,B'Day,2006,https://i.scdn.co/image/ab67616d0000b273632e4eafb2ffba59a2ae4500
Beyoncé,Dangerously In Love,2003,https://i.scdn.co/image/ab67616d0000b27345680a4a57c97894490a01c1
Lady Gaga,MAYHEM,2025,https://i.scdn.co/image/ab67616d0000b2738d1cf82837651f08ac1ca1ca
Lady Gaga,Chromatica,2020,https://i.scdn.co/image/ab67616d0000b2736040effba89b9b00a6f6743a
Lady Gaga,Joanne,2016,https://i.scdn.co/image/ab67616d0000b2738093238ec0c71ef7c95c8fb1
Lady Gaga,ARTPOP,2013,https://i.scdn.co/image/ab67616d0000b2737da123c944790bfab54b2522
Lady Gaga,Born This Way,2011,https://i.scdn.co/image/ab67616d0000b2734ba15b951a5cff36133ca5bd
Lady Gaga,The Fame Monster,2009,https://i.scdn.co/image/ab67616d0000b27394f32e15943c2a479f565f8c
Lady Gaga,The Fame,2008,https://i.scdn.co/image/ab67616d0000b273613aaa3ae566d9f36008aed0
Adele,30,2021,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7
Adele,25,2015,https://i.scdn.co/image/ab67616d0000b27347ce408fb4926d69da6713c2
Adele,21,2011,https://i.scdn.co/image/ab67616d0000b2732118bf9b198b05a95ded6300
Adele,19,2008,https://i.scdn.co/image/ab67616d0000b27362e62cf225b72fca8d765168
Rihanna,ANTI,2016,https://i.scdn.co/image/ab67616d0000b2737b688587a6754481c53f6bb7
Rihanna,Unapologetic,2012,https://i.scdn.co/image/ab67616d0000b2731f69f49a0d2f6b13a79efe02
Rihanna,Talk That Talk,2011,https://i.scdn.co/image/ab67616d0000b2731c5eacf6965d328c2c795cef
Rihanna,Loud,2010,https://i.scdn.co/image/ab67616d0000b27331548865f7c729290b96c794
Rihanna,Rated R,2009,https://i.scdn.co/image/ab67616d0000b273ab647295c0c97446c1f1a3b5
Rihanna,Good Girl Gone Bad,2007,https://i.scdn.co/image/ab67616d0000b273b9ff0a5f40d3406aed5e5e3b
Rihanna,A Girl Like Me,2006,https://i.scdn.co/image/ab67616d0000b273d744a51e193d52170070062b
