name,track_number,duration_ms,duration,explicit,popularity,external_url,diva_id,diva_name,album_id,album_name,diva_popularity,diva_followers,diva_image_url,album_total_tracks,release_date,release_year,decada,album_image_url,temas_principales,emocion_alegria,emocion_tristeza,emocion_miedo,emocion_ira,emocion_sorpresa,emocion_asco,emocion_principal,resumen,tono_general,energia_emocional,valencia,activacion
Medellín (with Maluma),1,298164,4:58,FALSE,49,https://open.spotify.com/track/6mfu6jyFgvnXeTPQrYNs8d,6tbjWDEIzxoDsBA1FuhfPW,Madonna,1G2YEQPXaOj1JZwa3ZiGe8,Madame X,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,15,2019-06-14,2019,Años 2010,https://i.scdn.co/image/ab67616d0000b273fa3f9b299ec4a1b18164726d,"escapismo, seducción, nostalgia",0.8,0.1,0,0,0.2,0,alegría,"La letra describe un escape onírico y nostálgico hacia la juventud. A través de un diálogo seductor, los artistas se invitan a un viaje romántico, dejando el pasado atrás por una nueva aventura en un lugar lejano.",positivo,alta,0.8,0.6
Dark Ballet,2,254704,4:15,FALSE,31,https://open.spotify.com/track/4fxz9qgPY0L2EWsbmj5N5j,6tbjWDEIzxoDsBA1FuhfPW,Madonna,1G2YEQPXaOj1JZwa3ZiGe8,Madame X,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,15,2019-06-14,2019,Años 2010,https://i.scdn.co/image/ab67616d0000b273fa3f9b299ec4a1b18164726d,"Crítica social, Desafío, Rebelión",0,0.5,0.3,0.9,0.1,0.6,ira,"Una crítica a un mundo superficial, corrupto y obsesionado con la fama. Usando la figura de Juana de Arco como símbolo, la letra expresa un desafío inflexible y la promesa de una rebelión inminente contra la injusticia, alimentada por la fe y una tormenta interna de descontento.",negativo,alta,-0.8,0.8
God Control,3,379316,6:19,FALSE,36,https://open.spotify.com/track/1g1KZTgP2crk4QMOIZXlcA,6tbjWDEIzxoDsBA1FuhfPW,Madonna,1G2YEQPXaOj1JZwa3ZiGe8,Madame X,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,15,2019-06-14,2019,Años 2010,https://i.scdn.co/image/ab67616d0000b273fa3f9b299ec4a1b18164726d,"Crítica social, Descontrol, Despertar",0,0.5,0.6,0.9,0.1,0.7,ira,"Una crítica feroz a la sociedad y la política, denunciando la pérdida de control, la violencia y las mentiras. Es un llamado urgente a la acción y a 'despertar' para luchar por una nueva democracia, con un tono de frustración y desesperanza pero también de lucha.",negativo,alta,-0.8,0.8
Future (with Quavo),4,233801,3:54,FALSE,35,https://open.spotify.com/track/5IQgTY3f8ZeRW8o7cyFMX5,6tbjWDEIzxoDsBA1FuhfPW,Madonna,1G2YEQPXaOj1JZwa3ZiGe8,Madame X,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,15,2019-06-14,2019,Años 2010,https://i.scdn.co/image/ab67616d0000b273fa3f9b299ec4a1b18164726d,"futuro, cambio, esperanza",0.7,0.4,0.1,0,0,0,alegría,"Una reflexión sobre el progreso, advirtiendo que no todos avanzarán hacia el futuro ni aprenderán del pasado. A pesar de su tono de advertencia, la canción ofrece un mensaje de esperanza, instando a la positividad, la apertura mental y a dejar brillar la luz interior.",positivo,media,0.4,0.5
Batuka,5,297091,4:57,FALSE,29,https://open.spotify.com/track/35skCNkwwEQIgJCSncfbBe,6tbjWDEIzxoDsBA1FuhfPW,Madonna,1G2YEQPXaOj1JZwa3ZiGe8,Madame X,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,15,2019-06-14,2019,Años 2010,https://i.scdn.co/image/ab67616d0000b273fa3f9b299ec4a1b18164726d,"resistencia, lucha, esperanza",0.5,0.2,0.3,0.6,0,0.1,ira,"La letra describe una larga y ardua lucha contra la opresión. Expresa cansancio pero también una desafiante determinación y esperanza en la unidad para lograr un cambio, visualizando un 'nuevo día' de justicia y libertad.",negativo,alta,-0.4,0.7
Killers Who Are Partying,6,328762,5:29,FALSE,28,https://open.spotify.com/track/68vWLW3xY35CHvYS2Sn55Q,6tbjWDEIzxoDsBA1FuhfPW,Madonna,1G2YEQPXaOj1JZwa3ZiGe8,Madame X,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,15,2019-06-14,2019,Años 2010,https://i.scdn.co/image/ab67616d0000b273fa3f9b299ec4a1b18164726d,"solidaridad, empatía, injusticia",0,0.8,0.3,0.7,0,0.4,tristeza,"Una declaración de solidaridad con grupos oprimidos. La hablante se identifica con las víctimas de odio y violencia, como los gays, africanos y mujeres, denunciando un mundo salvaje y un camino solitario hacia la justicia y la comprensión.",negativo,alta,-0.8,-0.2
Crave (with Swae Lee),7,201640,3:22,FALSE,37,https://open.spotify.com/track/3DTq6oxUWv20TEKQO9IVF3,6tbjWDEIzxoDsBA1FuhfPW,Madonna,1G2YEQPXaOj1JZwa3ZiGe8,Madame X,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,15,2019-06-14,2019,Años 2010,https://i.scdn.co/image/ab67616d0000b273fa3f9b299ec4a1b18164726d,"deseo, vulnerabilidad, urgencia",0.3,0.4,0.7,0,0.1,0,miedo,"La letra describe un anhelo intenso y peligroso por alguien. Expresa una sensación de vulnerabilidad y lejanía, donde la persona deseada es vista como una fuente de seguridad y fuerza. El deseo es urgente, arriesgado y se siente como una necesidad incontrolable.",negativo,alta,-0.6,0.8
Crazy,8,242076,4:02,FALSE,31,https://open.spotify.com/track/3Y6bCKPrsrKRSo8sg6PuL3,6tbjWDEIzxoDsBA1FuhfPW,Madonna,1G2YEQPXaOj1JZwa3ZiGe8,Madame X,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,15,2019-06-14,2019,Años 2010,https://i.scdn.co/image/ab67616d0000b273fa3f9b299ec4a1b18164726d,"empoderamiento, desamor, resiliencia",0.3,0.5,0.1,0.7,0.4,0.1,ira,"La narradora se libera de una relación tóxica en la que fue subestimada. A través de la ira y el desamor, encuentra su propia fuerza y decide tomar el control, negándose a ser manipulada o destruida por un amor que la lastima.",negativo,alta,-0.6,0.7
Come Alive,9,242105,4:02,FALSE,29,https://open.spotify.com/track/6hHPBnTvgBjmJoUowLa23S,6tbjWDEIzxoDsBA1FuhfPW,Madonna,1G2YEQPXaOj1JZwa3ZiGe8,Madame X,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,15,2019-06-14,2019,Años 2010,https://i.scdn.co/image/ab67616d0000b273fa3f9b299ec4a1b18164726d,"liberación, individualidad, sueños",0.8,0,0,0.2,0.1,0,alegría,"Un llamado a la liberación personal y a la autenticidad. La letra rechaza la conformidad y las opiniones ajenas, instando a vivir plenamente, perseguir los sueños y destacar sin miedo. Es un himno al empoderamiento y la autoafirmación.",positivo,alta,0.8,0.7
Extreme Occident,10,221559,3:42,FALSE,26,https://open.spotify.com/track/6yUMDlOJja7g0zdEtb6TeP,6tbjWDEIzxoDsBA1FuhfPW,Madonna,1G2YEQPXaOj1JZwa3ZiGe8,Madame X,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,15,2019-06-14,2019,Años 2010,https://i.scdn.co/image/ab67616d0000b273fa3f9b299ec4a1b18164726d,"Identidad, búsqueda, desorientación",0.2,0.7,0.1,0,0.4,0,tristeza,"La letra narra un viaje introspectivo en busca de identidad. A través de la desorientación y el dolor, la narradora concluye que no estaba perdida, sino en un proceso cíclico de autodefinición, reclamando su derecho a elegir su propio camino.",negativo,media,-0.6,0.2
